id,date,dep_airport,des_airport,airline_id,total
0,2013-04-01,JFK,HHN,5Y,41
1,2013-12-01,EWR,YUL,C6,18521
2,2013-11-01,EWR,MHH,DL,5
3,2013-05-01,EWR,YWG,AC,15
4,2013-05-01,JFK,BRU,CC,3031
5,2013-04-01,EWR,YOW,AC,4181
6,2013-02-01,EWR,YUL,AC,18521
7,2013-01-01,JFK,TAR,5Y,83
8,2013-04-01,LGA,YWG,AC,15
9,2013-07-01,JFK,PDL,SY,1
10,2013-05-01,EWR,YXE,GL,2
11,2013-03-01,JFK,BSL,5Y,3
12,2013-04-01,JFK,ISB,5Y,2
13,2013-06-01,JFK,BSL,CV,3
14,2013-02-01,JFK,LGG,5Y,201
15,2013-09-01,EWR,YHM,W8,4
16,2013-01-01,EWR,YYZ,DL,34610
17,2013-10-01,EWR,BDA,W8,3146
18,2013-08-01,JFK,SNN,5Y,1749
19,2013-03-01,EWR,PVR,GL,222
20,2013-11-01,JFK,FRA,WO,5406
21,2013-09-01,JFK,HHN,5Y,41
22,2013-01-01,EWR,VRN,WO,1
23,2013-09-01,JFK,YYC,5Y,1074
24,2013-02-01,EWR,QRO,N8,2
25,2013-07-01,JFK,YYZ,5Y,34610
26,2013-03-01,EWR,MHH,DL,5
27,2013-12-01,JFK,VCP,5Y,1
28,2013-02-01,EWR,YOW,AC,4181
29,2013-03-01,JFK,BJM,5Y,1
30,2013-07-01,EWR,BCN,X9,1904
31,2013-03-01,JFK,HAJ,FX,2
32,2013-03-01,EWR,YOW,AC,4181
33,2013-07-01,JFK,MUC,5Y,2057
34,2013-01-01,JFK,VBS,5Y,1
35,2013-07-01,JFK,BAH,5Y,5
36,2013-06-01,EWR,VCE,5Y,529
37,2013-11-01,EWR,YWG,AC,15
38,2013-03-01,LGA,YWG,AC,15
39,2013-07-01,EWR,CPH,X9,1156
40,2013-10-01,EWR,YEG,AC,419
41,2013-05-01,LGA,YWG,AC,15
42,2013-05-01,LGA,NAS,GL,3196
43,2013-09-01,JFK,ISB,5Y,2
44,2013-08-01,JFK,BRU,CC,3031
45,2013-12-01,JFK,JED,CC,449
46,2013-03-01,EWR,AMS,N8,3750
47,2013-03-01,JFK,PBC,AM,2
48,2013-09-01,JFK,YHM,5Y,4
49,2013-08-01,JFK,POS,SY,2322
50,2013-11-01,JFK,YQX,ZB,55
51,2013-11-01,EWR,YOW,GL,4181
52,2013-10-01,EWR,YOW,GL,4181
53,2013-08-01,JFK,HAM,5Y,580
54,2013-04-01,JFK,MSE,EZ,1
55,2013-10-01,EWR,YWG,AC,15
56,2013-02-01,LGA,YWG,AC,15
57,2013-05-01,JFK,TAR,5Y,83
58,2013-06-01,JFK,BRU,CC,3031
59,2013-10-01,JFK,RIX,5Y,140
60,2013-07-01,EWR,YYZ,GL,34610
61,2013-02-01,EWR,NAS,GL,3196
62,2013-11-01,LGA,YOW,AC,4181
63,2013-02-01,JFK,HHN,EZ,41
64,2013-04-01,JFK,HHN,EZ,41
65,2013-09-01,JFK,YYZ,DL,34610
66,2013-10-01,EWR,YOW,AC,4181
67,2013-05-01,JFK,HHN,EZ,41
68,2013-11-01,EWR,YWG,DL,15
69,2013-05-01,JFK,GOA,5Y,3
