airline_id,dep_airport,des_airport,dep_name,dep_city,dep_country,dep_lat,dep_lng,total,des_name,des_city,des_country,airport_id,des_lat,des_lng,alt,airline_name
5Y,JFK,HHN,John F Kennedy International Airport,New York,United States,40.63980103,-73.77890015,41,Frankfurt-Hahn Airport,Hahn,Germany,HHN,49.9487,7.26389,1649,Atlas Air
C6,EWR,YUL,Newark Liberty International Airport,Newark,United States,40.69250107,-74.16870117,18521,Montreal / Pierre Elliott Trudeau International Airport,Montreal,Canada,YUL,45.47060013,-73.74079895,118,CanJet
DL,EWR,MHH,Newark Liberty International Airport,Newark,United States,40.69250107,-74.16870117,5,Leonard M Thompson International Airport,Marsh Harbor,Bahamas,MHH,26.5114,-77.083503,6,Delta Air Lines
AC,EWR,YWG,Newark Liberty International Airport,Newark,United States,40.69250107,-74.16870117,15,Winnipeg / James Armstrong Richardson International Airport,Winnipeg,Canada,YWG,49.90999985,-97.23989868,783,Air Canada
CC,JFK,BRU,John F Kennedy International Airport,New York,United States,40.63980103,-73.77890015,3031,Brussels Airport,Brussels,Belgium,BRU,50.90140152,4.48443985,184,Air Atlanta Icelandic
AC,EWR,YOW,Newark Liberty International Airport,Newark,United States,40.69250107,-74.16870117,4181,Ottawa Macdonald-Cartier International Airport,Ottawa,Canada,YOW,45.32249832,-75.66919708,374,Air Canada
AC,EWR,YUL,Newark Liberty International Airport,Newark,United States,40.69250107,-74.16870117,18521,Montreal / Pierre Elliott Trudeau International Airport,Montreal,Canada,YUL,45.47060013,-73.74079895,118,Air Canada
5Y,JFK,TAR,John F Kennedy International Airport,New York,United States,40.63980103,-73.77890015,83,"Taranto-Grottaglie ""Marcello Arlotta"" Airport",Grottaglie,Italy,TAR,40.517502,17.4032,215,Atlas Air
AC,LGA,YWG,La Guardia Airport,New York,United States,40.77719879,-73.87259674,15,Winnipeg / James Armstrong Richardson International Airport,Winnipeg,Canada,YWG,49.90999985,-97.23989868,783,Air Canada
SY,JFK,PDL,John F Kennedy International Airport,New York,United States,40.63980103,-73.77890015,1,João Paulo II Airport,Ponta Delgada,Portugal,PDL,37.74119949,-25.69790077,259,Sun Country Airlines
GL,EWR,YXE,Newark Liberty International Airport,Newark,United States,40.69250107,-74.16870117,2,Saskatoon John G. Diefenbaker International Airport,Saskatoon,Canada,YXE,52.17079926,-106.6999969,1653,Air Greenland
5Y,JFK,BSL,John F Kennedy International Airport,New York,United States,40.63980103,-73.77890015,3,EuroAirport Basel-Mulhouse-Freiburg Airport,Mulhouse,France,BSL,47.59,7.5291667,885,Atlas Air
5Y,JFK,ISB,John F Kennedy International Airport,New York,United States,40.63980103,-73.77890015,2,New Islamabad International Airport,Islamabad,Pakistan,ISB,33.560713,72.851613,1646,Atlas Air
CV,JFK,BSL,John F Kennedy International Airport,New York,United States,40.63980103,-73.77890015,3,EuroAirport Basel-Mulhouse-Freiburg Airport,Mulhouse,France,BSL,47.59,7.5291667,885,Air Chathams
5Y,JFK,LGG,John F Kennedy International Airport,New York,United States,40.63980103,-73.77890015,201,Liège Airport,Liege,Belgium,LGG,50.63740158,5.443220139,659,Atlas Air
W8,EWR,YHM,Newark Liberty International Airport,Newark,United States,40.69250107,-74.16870117,4,John C. Munro Hamilton International Airport,Hamilton,Canada,YHM,43.17359924,-79.93499756,780,Cargojet Airways
DL,EWR,YYZ,Newark Liberty International Airport,Newark,United States,40.69250107,-74.16870117,34610,Lester B. Pearson International Airport,Toronto,Canada,YYZ,43.67720032,-79.63059998,569,Delta Air Lines
W8,EWR,BDA,Newark Liberty International Airport,Newark,United States,40.69250107,-74.16870117,3146,L.F. Wade International International Airport,Bermuda,Bermuda,BDA,32.36399841,-64.67870331,12,Cargojet Airways
5Y,JFK,SNN,John F Kennedy International Airport,New York,United States,40.63980103,-73.77890015,1749,Shannon Airport,Shannon,Ireland,SNN,52.702,-8.92482,46,Atlas Air
GL,EWR,PVR,Newark Liberty International Airport,Newark,United States,40.69250107,-74.16870117,222,Licenciado Gustavo Díaz Ordaz International Airport,Puerto Vallarta,Mexico,PVR,20.68009949,-105.2539978,23,Air Greenland
WO,JFK,FRA,John F Kennedy International Airport,New York,United States,40.63980103,-73.77890015,5406,Frankfurt am Main Airport,Frankfurt,Germany,FRA,50.033333,8.570556,364,World Airways
WO,EWR,VRN,Newark Liberty International Airport,Newark,United States,40.69250107,-74.16870117,1,Verona Villafranca Airport,Villafranca,Italy,VRN,45.395699,10.8885,239,World Airways
5Y,JFK,YYC,John F Kennedy International Airport,New York,United States,40.63980103,-73.77890015,1074,Calgary International Airport,Calgary,Canada,YYC,51.11389923,-114.0199966,3557,Atlas Air
N8,EWR,QRO,Newark Liberty International Airport,Newark,United States,40.69250107,-74.16870117,2,Querétaro Intercontinental Airport,Queretaro,Mexico,QRO,20.6173,-100.185997,6296,Fika Salaama Airlines
5Y,JFK,YYZ,John F Kennedy International Airport,New York,United States,40.63980103,-73.77890015,34610,Lester B. Pearson International Airport,Toronto,Canada,YYZ,43.67720032,-79.63059998,569,Atlas Air
5Y,JFK,VCP,John F Kennedy International Airport,New York,United States,40.63980103,-73.77890015,1,Viracopos International Airport,Campinas,Brazil,VCP,-23.00740051,-47.1344986,2170,Atlas Air
