index,year,dep_airport,des_airport,alid,airline_id,dom_fgn,scheduled,chartered,total
0,2019,EWR,BDA,20313,W8,0,0,46,46
1,2019,EWR,SAW,21134,0J,0,0,2,2
2,2019,EWR,YQB,19790,DL,1,0,1,1
3,2019,EWR,YWG,19531,AC,0,0,1,1
4,2019,EWR,YYZ,19790,DL,1,0,3,3
5,2019,JFK,GCM,20207,XP,1,0,2,2
6,2019,JFK,LGG,20140,CC,0,0,16,16
7,2019,JFK,POS,20405,N8,1,0,1,1
8,2019,JFK,YHZ,20140,CC,0,0,2,2
9,2019,JFK,YMX,20007,5Y,1,0,1,1
10,2019,JFK,YYT,19682,VS,0,0,1,1
11,2019,JFK,YYZ,19790,DL,1,0,1,1
12,2019,EWR,BDA,20313,W8,0,0,36,36
13,2019,EWR,YHU,20402,GL,1,0,4,4
14,2019,EWR,YOW,19531,AC,0,0,2,2
15,2019,EWR,YUL,19790,DL,1,0,1,1
16,2019,EWR,YVR,20402,GL,1,0,1,1
17,2019,EWR,YWG,20402,GL,1,0,1,1
18,2019,EWR,YYZ,19790,DL,1,0,6,6
19,2019,JFK,ARN,19790,DL,1,0,1,1
20,2019,JFK,GDL,20007,5Y,1,0,1,1
21,2019,JFK,LGG,20140,CC,0,0,7,7
22,2019,JFK,RUH,20007,5Y,1,0,1,1
23,2019,JFK,RUH,21629,KD,1,0,1,1
24,2019,JFK,SCL,20007,5Y,1,0,2,2
25,2019,JFK,TAR,20007,5Y,1,0,1,1
26,2019,JFK,YHZ,19550,KE,0,0,3,3
27,2019,JFK,YHZ,20140,CC,0,0,1,1
28,2019,EWR,BDA,20313,W8,0,0,44,44
29,2019,EWR,YYZ,19531,AC,0,0,2,2
30,2019,EWR,YYZ,19790,DL,1,0,4,4
31,2019,JFK,RLG,21635,LF,1,0,1,1
32,2019,JFK,TAR,20007,5Y,1,0,3,3
33,2019,JFK,YHM,20313,W8,0,0,1,1
34,2019,JFK,YHZ,20313,W8,0,0,1,1
35,2019,JFK,YYZ,19790,DL,1,0,2,2
36,2019,EWR,BDA,20313,W8,0,0,40,40
37,2019,EWR,CUN,21342,VB,0,0,6,6
38,2019,EWR,YOW,20402,GL,1,0,2,2
39,2019,EWR,YUL,19531,AC,0,0,2,2
40,2019,EWR,YYZ,19531,AC,0,0,4,4
41,2019,EWR,YYZ,19790,DL,1,0,4,4
42,2019,EWR,YYZ,20402,GL,1,0,1,1
43,2019,JFK,CMN,20140,CC,0,0,1,1
44,2019,JFK,GCM,20207,XP,1,0,6,6
45,2019,JFK,GCM,20310,WL,1,0,1,1
46,2019,JFK,ICN,20007,5Y,1,0,1,1
47,2019,JFK,LGG,20140,CC,0,0,7,7
48,2019,JFK,POS,20140,CC,0,0,1,1
49,2019,JFK,SCL,20007,5Y,1,0,2,2
50,2019,JFK,TAR,20007,5Y,1,0,3,3
51,2019,JFK,TLV,20007,5Y,1,0,1,1
52,2019,JFK,YHZ,19550,KE,0,0,4,4
53,2019,JFK,YHZ,20007,5Y,1,0,4,4
54,2019,JFK,YHZ,20140,CC,0,0,2,2
55,2019,JFK,YYZ,19790,DL,1,0,2,2
56,2019,JFK,YYZ,20405,N8,1,0,1,1
57,2019,EWR,BDA,20313,W8,0,0,40,40
58,2019,EWR,PUJ,20402,GL,1,0,3,3
59,2019,EWR,YEG,19531,AC,0,0,1,1
60,2019,EWR,YHM,20313,W8,0,0,2,2
61,2019,EWR,YHU,20402,GL,1,0,2,2
62,2019,EWR,YOW,19531,AC,0,0,1,1
63,2019,EWR,YOW,19790,DL,1,0,1,1
64,2019,EWR,YUL,19531,AC,0,0,1,1
65,2019,EWR,YWG,19790,DL,1,0,1,1
66,2019,EWR,YYZ,19531,AC,0,0,1,1
67,2019,EWR,YYZ,19790,DL,1,0,4,4
68,2019,JFK,TAR,20007,5Y,1,0,1,1
69,2019,JFK,YWG,19790,DL,1,0,1,1
70,2019,EWR,BDA,20313,W8,0,0,42,42
71,2019,EWR,SJD,20402,GL,1,0,1,1
72,2019,EWR,YOW,19790,DL,1,0,1,1
73,2019,EWR,YUL,19531,AC,0,0,1,1
74,2019,EWR,YUL,19790,DL,1,0,1,1
75,2019,EWR,YYC,20402,GL,1,0,1,1
76,2019,EWR,YYZ,19790,DL,1,0,4,4
77,2019,EWR,YYZ,19977,UA,1,0,1,1
78,2019,JFK,DSA,20140,CC,0,0,1,1
79,2019,JFK,HHN,20007,5Y,1,0,3,3
80,2019,JFK,HHN,20100,PO,1,0,1,1
81,2019,JFK,TAR,20007,5Y,1,0,1,1
82,2019,JFK,TLS,20007,5Y,1,0,1,1
83,2019,EWR,BDA,20313,W8,0,0,42,42
84,2019,EWR,YOW,19531,AC,0,0,1,1
85,2019,EWR,YYZ,19790,DL,1,0,1,1
86,2019,EWR,YYZ,20402,GL,1,0,1,1
87,2019,JFK,BEY,20140,CC,0,0,1,1
88,2019,JFK,MTY,19790,DL,1,0,1,1
89,2019,JFK,MTY,20007,5Y,1,0,1,1
90,2019,JFK,STN,20007,5Y,1,0,1,1
91,2019,JFK,YYZ,19790,DL,1,0,1,1
92,2019,EWR,BDA,20313,W8,0,0,42,42
93,2019,EWR,YYZ,19790,DL,1,0,1,1
94,2019,JFK,BDA,20422,SY,1,0,4,4
95,2019,JFK,VCP,20007,5Y,1,0,5,5
96,2019,LGA,YYZ,19790,DL,1,0,1,1
97,2019,EWR,BDA,20313,W8,0,0,39,39
98,2019,EWR,SVD,20402,GL,1,0,1,1
99,2019,EWR,SXM,21421,PP,0,0,2,2
100,2019,EWR,VKO,21421,PP,0,0,1,1
101,2019,EWR,YQX,21635,LF,1,0,1,1
102,2019,EWR,YYZ,19790,DL,1,0,1,1
103,2019,JFK,LGG,20140,CC,0,0,16,16
104,2019,JFK,LGW,19682,VS,0,0,1,1
105,2019,JFK,MXP,19545,CV,0,0,2,2
106,2019,JFK,YYZ,19790,DL,1,0,1,1
107,2019,EWR,BDA,20313,W8,0,0,43,43
108,2019,EWR,MAN,19682,VS,0,0,1,1
109,2019,JFK,LGG,20140,CC,0,0,10,10
110,2019,EWR,BDA,20313,W8,0,0,41,41
111,2019,EWR,YWG,20422,SY,1,0,2,2
112,2019,EWR,YYZ,20422,SY,1,0,3,3
113,2019,JFK,LGG,20140,CC,0,0,16,16
114,2019,JFK,PLS,21635,LF,1,0,1,1
115,2019,JFK,YYZ,19790,DL,1,0,1,1
116,2019,JFK,ZAZ,19545,CV,0,0,1,1
117,2019,EWR,BDA,20313,W8,0,0,34,34
118,2019,EWR,YHU,20402,GL,1,0,2,2
119,2019,JFK,HHN,20007,5Y,1,0,2,2
120,2019,JFK,LGG,20140,CC,0,0,18,18
121,2019,JFK,LUX,20007,5Y,1,0,1,1
122,2019,JFK,MAN,20007,5Y,1,0,1,1
123,2019,JFK,YYZ,19790,DL,1,0,2,2
124,2020,EWR,BDA,20313,W8,0,0,44,44
125,2020,EWR,CUN,21342,VB,0,0,2,2
126,2020,EWR,YOW,20402,GL,1,0,2,2
127,2020,EWR,YYZ,19790,DL,1,0,1,1
128,2020,EWR,YYZ,20402,GL,1,0,1,1
129,2020,JFK,LUX,20007,5Y,1,0,1,1
130,2020,JFK,NAS,20422,SY,1,0,4,4
131,2020,JFK,SCL,20007,5Y,1,0,1,1
132,2020,JFK,TAR,20007,5Y,1,0,1,1
133,2020,JFK,YHZ,19550,KE,0,0,4,4
134,2020,JFK,YQM,20007,5Y,1,0,1,1
135,2020,JFK,YYZ,19790,DL,1,0,3,3
136,2020,EWR,BDA,20313,W8,0,0,40,40
137,2020,EWR,CUN,21342,VB,0,0,5,5
138,2020,EWR,PTY,20402,GL,1,0,1,1
139,2020,EWR,SJO,20422,SY,1,0,1,1
140,2020,EWR,YUL,19531,AC,0,0,2,2
141,2020,EWR,YYZ,19531,AC,0,0,2,2
142,2020,EWR,YYZ,19790,DL,1,0,5,5
143,2020,EWR,YYZ,20402,GL,1,0,1,1
144,2020,JFK,ADJ,21629,KD,1,0,1,1
145,2020,JFK,GCM,20310,WL,1,0,17,17
146,2020,JFK,HHN,20007,5Y,1,0,2,2
147,2020,JFK,ICN,20007,5Y,1,0,2,2
148,2020,JFK,LGG,20405,N8,1,0,1,1
149,2020,JFK,TAR,20007,5Y,1,0,2,2
150,2020,JFK,TLS,20100,PO,1,0,1,1
151,2020,EWR,BDA,20313,W8,0,0,44,44
152,2020,EWR,CUN,21342,VB,0,0,7,7
153,2020,EWR,MTY,21342,VB,0,0,6,6
154,2020,EWR,SJD,21342,VB,0,0,1,1
155,2020,EWR,TIJ,21342,VB,0,0,1,1
156,2020,EWR,YUL,19531,AC,0,0,1,1
157,2020,JFK,AMS,20007,5Y,1,0,1,1
158,2020,JFK,DSA,20140,CC,0,0,3,3
159,2020,JFK,FRA,20140,CC,0,0,2,2
160,2020,JFK,GCM,20310,WL,1,0,20,20
161,2020,JFK,GDL,20405,N8,1,0,1,1
162,2020,JFK,ICN,19790,DL,1,0,1,1
163,2020,JFK,ICN,20007,5Y,1,0,14,14
164,2020,JFK,LGG,20007,5Y,1,0,2,2
165,2020,JFK,LGG,20140,CC,0,0,11,11
166,2020,JFK,LUX,20007,5Y,1,0,1,1
167,2020,JFK,STR,20140,CC,0,0,1,1
168,2020,JFK,TAR,20007,5Y,1,0,1,1
169,2020,JFK,YHZ,20140,CC,0,0,2,2
170,2019,EWR,FAO,19977,UA,1,1,0,1
171,2019,EWR,KEF,19977,UA,1,1,0,1
172,2020,EWR,OPO,19977,UA,1,1,0,1
173,2019,EWR,KEF,19554,LH,0,1,0,1
174,2019,EWR,CLO,19977,UA,1,1,0,1
175,2019,JFK,SNN,19554,LH,0,1,0,1
176,2019,JFK,KTW,19558,LY,0,1,0,1
177,2019,JFK,YYT,19790,DL,1,1,0,1
178,2019,JFK,TER,19790,DL,1,1,0,1
179,2019,JFK,PIK,19540,BA,0,1,0,1
180,2019,JFK,MTY,19534,AM,0,1,0,1
181,2019,JFK,MTY,19534,AM,0,1,0,1
182,2019,EWR,EMA,19917,5X,1,1,0,1
183,2019,EWR,BDA,20409,B6,1,1,0,1
184,2019,JFK,BDA,21823,D8,0,1,0,1
185,2019,EWR,LBA,21624,LS,0,1,0,1
186,2019,EWR,BDA,19977,UA,1,1,0,1
187,2019,EWR,YYZ,20107,FX,1,1,0,1
188,2019,LGA,YUL,19531,AC,0,1,0,1
189,2019,JFK,SNN,19805,AA,1,1,0,1
190,2019,JFK,TRN,19539,AZ,0,1,0,1
191,2019,EWR,NCL,21624,LS,0,1,0,1
192,2019,JFK,YYT,19540,BA,0,1,0,1
193,2019,EWR,MVD,19977,UA,1,1,0,1
194,2019,EWR,PIK,19977,UA,1,1,0,1
195,2019,EWR,PUJ,20409,B6,1,1,0,1
196,2019,EWR,YYT,19977,UA,1,1,0,1
197,2020,EWR,BHX,19977,UA,1,1,0,1
198,2020,JFK,YYR,19805,AA,1,1,0,1
199,2019,LGA,YUL,20452,YX,1,1,0,1
200,2019,LGA,YUL,20445,C5,1,1,0,1
201,2019,JFK,MVD,19805,AA,1,1,0,1
202,2019,JFK,REX,20250,5D,0,1,0,1
203,2019,JFK,SNN,19554,LH,0,1,0,1
204,2019,JFK,STN,21924,DI,0,1,0,1
205,2019,JFK,SNN,19790,DL,1,1,0,1
206,2019,EWR,YHZ,19977,UA,1,1,0,1
207,2020,EWR,SDQ,20416,NK,1,1,0,1
208,2020,EWR,SNN,19977,UA,1,1,0,1
209,2020,EWR,YHM,21611,KV,0,1,0,1
210,2019,JFK,ACA,21342,VB,0,1,0,1
211,2019,JFK,ANF,19552,LA,0,1,0,1
212,2019,EWR,SNN,19977,UA,1,1,0,1
213,2019,EWR,KIX,19779,CX,0,1,0,1
214,2019,EWR,DUB,19554,LH,0,1,0,1
215,2019,EWR,ATH,19977,UA,1,1,0,1
216,2020,JFK,ESB,19821,TK,0,1,0,1
217,2019,JFK,YYZ,20229,WS,0,1,0,1
218,2019,EWR,YQX,21579,DY,0,1,0,1
219,2020,JFK,YOW,19779,CX,0,1,0,1
220,2019,EWR,YWG,20366,EV,1,1,0,1
221,2019,JFK,SNN,19805,AA,1,1,0,1
222,2020,JFK,UIO,19821,TK,0,1,0,1
223,2020,JFK,TER,19576,TP,0,1,0,1
224,2020,JFK,STR,19790,DL,1,1,0,1
225,2019,JFK,NLD,20250,5D,0,1,0,1
226,2020,JFK,HKG,19564,PR,0,1,0,1
227,2019,JFK,BDA,19547,IB,0,1,0,1
228,2020,JFK,GND,19542,BW,0,1,0,1
229,2020,JFK,BOG,19821,TK,0,1,0,1
230,2019,JFK,DUS,19790,DL,1,1,0,1
231,2019,EWR,MBJ,20409,B6,1,1,0,1
232,2019,JFK,MDE,19953,QT,0,1,0,1
233,2019,JFK,YHZ,19532,AF,0,1,0,1
234,2019,EWR,YEG,19531,AC,0,1,0,1
235,2019,EWR,SXM,20409,B6,1,1,0,1
236,2019,EWR,HAV,20409,B6,1,1,0,1
237,2019,EWR,KIN,19977,UA,1,1,0,1
238,2019,EWR,POS,19977,UA,1,1,0,1
239,2019,JFK,YYT,19540,BA,0,1,0,1
240,2019,JFK,SNN,19554,LH,0,1,0,1
241,2019,JFK,SCQ,20119,UX,0,1,0,1
242,2019,JFK,SCL,19779,CX,0,1,0,1
243,2019,JFK,LGW,21579,DY,0,1,0,1
244,2019,JFK,JNB,19790,DL,1,1,0,1
245,2019,JFK,GND,19542,BW,0,1,0,1
246,2019,EWR,DEL,19977,UA,1,1,0,1
247,2019,EWR,GRU,19790,DL,1,1,0,1
248,2019,EWR,MVD,19977,UA,1,1,0,1
249,2020,JFK,BSB,19790,DL,1,1,0,1
250,2019,EWR,SNN,19554,LH,0,1,0,1
251,2019,EWR,YQX,19977,UA,1,1,0,1
252,2019,LGA,BDA,19790,DL,1,1,0,1
253,2019,JFK,YHZ,19790,DL,1,1,0,1
254,2019,JFK,TER,19805,AA,1,1,0,1
255,2019,LGA,YUL,20452,YX,1,1,0,1
256,2019,LGA,YUL,19531,AC,0,1,0,1
257,2019,LGA,YHZ,20363,9E,1,1,0,1
258,2019,JFK,SNN,19821,TK,0,1,0,1
259,2019,JFK,SNN,19805,AA,1,1,0,1
260,2019,EWR,YHZ,19977,UA,1,1,0,1
261,2019,EWR,POP,20409,B6,1,1,0,1
262,2020,JFK,MEC,20409,B6,1,1,0,1
263,2019,EWR,MID,19977,UA,1,1,0,1
264,2019,EWR,KIN,20409,B6,1,1,0,1
265,2019,EWR,GLA,19571,SK,0,1,0,1
266,2019,EWR,CGN,20107,FX,1,1,0,1
267,2019,EWR,YQX,19977,UA,1,1,0,1
268,2019,EWR,YYT,19977,UA,1,1,0,1
269,2019,JFK,AMS,19805,AA,1,1,0,1
270,2019,JFK,ACA,20409,B6,1,1,0,1
271,2019,JFK,QRO,19534,AM,0,1,0,1
272,2019,JFK,SJO,20409,B6,1,1,0,1
273,2019,JFK,SKG,19790,DL,1,1,0,1
274,2019,JFK,YYT,19790,DL,1,1,0,1
275,2019,JFK,YHZ,20363,9E,1,1,0,1
276,2019,JFK,YYT,19532,AF,0,1,0,1
277,2019,JFK,YUL,19540,BA,0,1,0,1
278,2020,JFK,STR,19790,DL,1,1,0,1
279,2019,JFK,SNN,19532,AF,0,1,0,1
280,2019,JFK,NRT,19545,CV,0,1,0,1
281,2020,EWR,YYZ,19531,AC,0,1,0,1
282,2020,EWR,YOW,20452,YX,1,1,0,1
283,2019,JFK,LGW,21579,DY,0,1,0,1
284,2019,JFK,EMA,21985,QY,0,1,0,1
285,2019,JFK,CUR,19790,DL,1,1,0,1
286,2020,EWR,LBA,21624,LS,0,1,0,1
287,2019,LGA,YUL,20366,EV,1,1,0,1
288,2020,EWR,CLO,19977,UA,1,1,0,1
289,2020,EWR,AMD,19977,UA,1,1,0,1
290,2019,EWR,BHX,19977,UA,1,1,0,1
291,2019,EWR,EMA,19917,5X,1,1,0,1
292,2019,EWR,KIN,19977,UA,1,1,0,1
293,2019,EWR,LBA,21624,LS,0,1,0,1
294,2019,EWR,NCL,21624,LS,0,1,0,1
295,2019,EWR,SNN,19977,UA,1,1,0,1
296,2019,EWR,SXM,20409,B6,1,1,0,1
297,2019,EWR,YYZ,20107,FX,1,1,0,1
298,2019,EWR,LGG,20107,FX,1,1,0,1
299,2019,EWR,YYZ,19531,AC,0,1,1,2
300,2019,EWR,YUL,20452,YX,1,1,0,1
301,2019,EWR,YUL,19554,LH,0,1,0,1
302,2019,EWR,YQX,19977,UA,1,1,0,1
303,2019,JFK,WAW,19558,LY,0,1,0,1
304,2019,EWR,MEX,20409,B6,1,1,0,1
305,2019,EWR,MBJ,20409,B6,1,1,0,1
306,2019,EWR,YOW,20452,YX,1,2,0,2
307,2020,JFK,MAD,20119,UX,0,2,0,2
308,2020,JFK,LGG,19558,LY,0,2,0,2
309,2019,JFK,BGI,19542,BW,0,2,0,2
310,2019,JFK,GND,19542,BW,0,2,0,2
311,2019,JFK,SNN,19540,BA,0,2,0,2
312,2019,JFK,LCY,19540,BA,0,2,0,2
313,2019,JFK,MXP,21580,C8,0,2,0,2
314,2019,JFK,LUX,21580,C8,0,2,0,2
315,2019,JFK,DUS,21728,EW,0,2,0,2
316,2019,JFK,LGW,19540,BA,0,2,0,2
317,2019,EWR,YOW,20366,EV,1,2,0,2
318,2019,LGA,YHZ,20452,YX,1,2,0,2
319,2019,JFK,GND,19542,BW,0,2,0,2
320,2019,JFK,SNN,19554,LH,0,2,0,2
321,2019,JFK,SKB,19805,AA,1,2,0,2
322,2020,JFK,SAL,19556,LR,0,2,0,2
323,2019,EWR,MAN,21624,LS,0,2,0,2
324,2019,EWR,YYR,19977,UA,1,2,0,2
325,2019,EWR,YOW,20452,YX,1,2,0,2
326,2019,EWR,STN,20107,FX,1,2,0,2
327,2019,EWR,MAD,19547,IB,0,2,0,2
328,2019,JFK,SJD,19790,DL,1,2,0,2
329,2019,JFK,YYT,19790,DL,1,2,0,2
330,2019,JFK,ISL,19821,TK,0,2,0,2
331,2019,LGA,YYZ,21611,KV,0,2,0,2
332,2020,EWR,MAN,21624,LS,0,2,0,2
333,2020,JFK,SAL,19556,LR,0,2,0,2
334,2019,JFK,LGG,19558,LY,0,2,0,2
335,2019,JFK,GRU,19552,LA,0,2,0,2
336,2019,JFK,FRA,21427,3S,0,2,0,2
337,2019,EWR,YYZ,19531,AC,0,2,0,2
338,2019,EWR,YUL,20452,YX,1,2,0,2
339,2019,LGA,YUL,21610,RV,0,2,0,2
340,2019,LGA,YYZ,21611,KV,0,2,0,2
341,2020,JFK,CTU,21271,HU,0,2,0,2
342,2020,JFK,CPH,21924,DI,0,2,0,2
343,2020,JFK,CKG,21271,HU,0,2,0,2
344,2019,EWR,YQB,20445,C5,1,2,0,2
345,2019,EWR,YOW,20445,C5,1,2,0,2
346,2020,JFK,ISL,19821,TK,0,2,0,2
347,2020,JFK,MEX,19821,TK,0,2,0,2
