index,airline_id,dep_airport,des_airport,stops
0,2B,AER,KZN,0
1,2B,ASF,KZN,0
2,2B,ASF,MRV,0
3,2B,CEK,KZN,0
4,2B,CEK,OVB,0
5,2B,DME,KZN,0
6,2B,DME,NBC,0
7,2B,DME,TGK,0
8,2B,DME,UUA,0
9,2B,EGO,KGD,0
10,2B,EGO,KZN,0
11,2B,GYD,NBC,0
12,2B,KGD,EGO,0
13,2B,KZN,AER,0
14,2B,KZN,ASF,0
15,2B,KZN,CEK,0
16,2B,KZN,DME,0
17,2B,KZN,EGO,0
18,2B,KZN,LED,0
19,2B,KZN,SVX,0
20,2B,LED,KZN,0
21,2B,LED,NBC,0
22,2B,LED,UUA,0
23,2B,MRV,ASF,0
24,2B,NBC,DME,0
25,2B,NBC,GYD,0
26,2B,NBC,LED,0
27,2B,NBC,SVX,0
28,2B,NJC,SVX,0
29,2B,NJC,UUA,0
30,2B,NUX,SVX,0
31,2B,OVB,CEK,0
32,2B,OVB,SVX,0
33,2B,SVX,KZN,0
34,2B,SVX,NBC,0
35,2B,SVX,NJC,0
36,2B,SVX,NUX,0
37,2B,SVX,OVB,0
38,2B,TGK,DME,0
39,2B,UUA,DME,0
40,2B,UUA,LED,0
41,2B,UUA,NJC,0
42,2G,BTK,IKT,0
43,2G,BTK,OVB,0
44,2G,CEK,OVB,0
45,2G,HTA,IKT,0
46,2G,IKT,BTK,0
47,2G,IKT,HTA,0
48,2G,IKT,KCK,0
49,2G,IKT,ODO,0
50,2G,IKT,OVB,0
51,2G,IKT,UKX,0
52,2G,IKT,ULK,0
53,2G,IKT,YKS,0
54,2G,KCK,IKT,0
55,2G,MJZ,OVB,0
56,2G,ODO,IKT,0
57,2G,OVB,BTK,0
58,2G,OVB,CEK,0
59,2G,OVB,IKT,0
60,2G,UKX,IKT,0
61,2G,ULK,IKT,0
62,2G,YKS,IKT,0
63,2I,AYP,LIM,0
64,2I,CUZ,LIM,0
65,2I,CUZ,PEM,0
66,2I,HUU,LIM,0
67,2I,IQT,PCL,0
68,2I,IQT,TPP,0
69,2I,LIM,AYP,0
70,2I,LIM,CUZ,0
71,2I,LIM,HUU,0
72,2I,LIM,PCL,0
73,2I,LIM,TPP,0
74,2I,PCL,IQT,0
75,2I,PCL,LIM,0
76,2I,PCL,TPP,0
77,2I,PEM,CUZ,0
78,2I,TPP,IQT,0
79,2I,TPP,LIM,0
80,2I,TPP,PCL,0
81,2J,ABJ,BOY,0
82,2J,ABJ,OUA,0
83,2J,ACC,OUA,0
84,2J,BKO,ABJ,0
85,2J,BKO,DKR,0
86,2J,BKO,OUA,0
87,2J,BOY,ABJ,0
88,2J,BOY,OUA,0
89,2J,COO,LFW,0
90,2J,COO,OUA,0
91,2J,DKR,BKO,0
92,2J,DKR,OUA,0
93,2J,LFW,OUA,0
94,2J,NIM,OUA,0
95,2J,OUA,ABJ,0
96,2J,OUA,ACC,0
97,2J,OUA,BKO,0
98,2J,OUA,BOY,0
99,2J,OUA,COO,0
100,2J,OUA,DKR,0
101,2J,OUA,LFW,0
102,2J,OUA,NIM,0
103,2K,BOG,GYE,0
104,2K,BOG,UIO,0
105,2K,CLO,GYE,0
106,2K,GYE,BOG,0
107,2K,GYE,CLO,0
108,2K,GYE,SCY,0
109,2K,GYE,UIO,0
110,2K,OCC,UIO,0
111,2K,SCY,GYE,0
112,2K,UIO,BOG,0
113,2K,UIO,GYE,0
114,2K,UIO,OCC,0
115,2L,BDS,ZRH,0
116,2L,BOD,ZRH,0
117,2L,BRS,ZRH,0
118,2L,GVA,LPA,0
119,2L,LCA,ZRH,0
120,2L,LPA,ZRH,0
121,2L,RMF,ZRH,0
122,2L,TFS,GVA,0
123,2L,ZRH,BDS,0
124,2L,ZRH,BOD,0
125,2L,ZRH,BRS,0
126,2L,ZRH,LCA,0
127,2L,ZRH,LPA,0
128,2L,ZRH,RMF,0
129,2N,AJR,LYC,0
130,2N,ARN,GEV,0
131,2N,ARN,HAD,0
132,2N,ARN,JKG,0
133,2N,ARN,KRF,0
134,2N,ARN,KSD,0
135,2N,ARN,LYC,0
136,2N,ARN,MHQ,0
137,2N,ARN,OER,0
138,2N,ARN,POR,0
139,2N,ARN,TRF,0
140,2N,ARN,VBY,0
141,2N,ARN,VHM,0
142,2N,ARN,VXO,0
143,2N,GEV,ARN,0
144,2N,GEV,KRF,0
145,2N,HAD,ARN,0
146,2N,HAD,JKG,0
147,2N,HAD,VXO,0
148,2N,HMV,VHM,0
149,2N,JKG,ARN,0
150,2N,JKG,HAD,0
151,2N,KOK,POR,0
152,2N,KRF,ARN,0
153,2N,KRF,GEV,0
154,2N,KSD,ARN,0
155,2N,LYC,AJR,0
156,2N,LYC,ARN,0
157,2N,MHQ,ARN,0
158,2N,MHQ,TKU,0
159,2N,OER,ARN,0
160,2N,OSL,VXO,0
161,2N,POR,ARN,0
162,2N,POR,KOK,0
163,2N,TKU,MHQ,0
164,2N,TRF,ARN,0
165,2N,VBY,ARN,0
166,2N,VHM,ARN,0
167,2N,VHM,HMV,0
168,2N,VXO,ARN,0
169,2N,VXO,OSL,0
170,2O,ADQ,AOS,0
171,2O,ADQ,KKB,0
172,2O,ADQ,KLN,0
173,2O,ADQ,KOZ,0
174,2O,ADQ,OLH,0
175,2O,AOS,KZB,0
176,2O,KKB,SYB,0
177,2O,KLN,KYK,0
178,2O,KOZ,ORI,0
179,2O,SYB,KPR,0
180,2P,BSO,MNL,0
181,2P,BXU,MNL,0
182,2P,CBO,MNL,0
183,2P,CGY,MNL,0
184,2P,CRM,MNL,0
185,2P,DGT,MNL,0
186,2P,DWC,MNL,0
187,2P,GES,MNL,0
188,2P,KLO,MNL,0
189,2P,LGP,MNL,0
190,2P,MNL,BSO,0
191,2P,MNL,BXU,0
192,2P,MNL,CBO,0
193,2P,MNL,CGY,0
194,2P,MNL,CRM,0
195,2P,MNL,DGT,0
196,2P,MNL,DWC,0
197,2P,MNL,GES,0
198,2P,MNL,KLO,0
199,2P,MNL,LGP,0
200,2P,MNL,MPH,0
201,2P,MNL,OZC,0
202,2P,MNL,PPS,0
203,2P,MNL,RXS,0
204,2P,MNL,SUG,0
205,2P,MNL,TUG,0
206,2P,MNL,ZAM,0
207,2P,MPH,MNL,0
208,2P,OZC,MNL,0
209,2P,PPS,MNL,0
210,2P,RXS,MNL,0
211,2P,SUG,MNL,0
212,2P,TUG,MNL,0
213,2P,ZAM,MNL,0
214,2Z,AUX,PMW,0
215,2Z,BRA,BSB,0
216,2Z,BRA,SSA,0
217,2Z,BSB,BRA,0
218,2Z,BSB,OPS,0
219,2Z,BSB,RAO,0
220,2Z,CAC,GRU,0
221,2Z,CGB,GYN,0
222,2Z,CGB,OPS,0
223,2Z,CGR,DOU,0
224,2Z,DOU,CGR,0
225,2Z,DOU,GRU,0
226,2Z,GIG,RAO,0
227,2Z,GRU,CAC,0
228,2Z,GRU,DOU,0
229,2Z,GRU,RAO,0
230,2Z,GRU,UBA,0
231,2Z,GRU,UDI,0
232,2Z,GRU,VDC,0
233,2Z,GYN,CGB,0
234,2Z,GYN,PMW,0
235,2Z,GYN,RAO,0
236,2Z,GYN,UDI,0
237,2Z,OPS,BSB,0
238,2Z,OPS,CGB,0
239,2Z,PLU,RAO,0
240,2Z,PMW,AUX,0
241,2Z,PMW,GYN,0
242,2Z,RAO,BSB,0
243,2Z,RAO,GIG,0
244,2Z,RAO,GRU,0
245,2Z,RAO,GYN,0
246,2Z,RAO,PLU,0
247,2Z,RAO,SJP,0
248,2Z,RAO,UDI,0
249,2Z,SJP,RAO,0
250,2Z,SSA,BRA,0
251,2Z,SSA,VDC,0
252,2Z,UBA,GRU,0
253,2Z,UBA,UDI,0
254,2Z,UDI,GRU,0
255,2Z,UDI,GYN,0
256,2Z,UDI,RAO,0
257,2Z,UDI,UBA,0
258,2Z,VDC,GRU,0
259,2Z,VDC,SSA,0
260,3E,BRL,ORD,0
261,3E,BRL,STL,0
262,3E,DEC,ORD,0
263,3E,DEC,STL,0
264,3E,JBR,STL,0
265,3E,ORD,BRL,0
266,3E,ORD,DEC,0
267,3E,STL,BRL,0
